State,City,Destination,Distance/km,Time_Taken/min
Indiana,Hammond,Chicago,45.7,38
Indiana,Hammond,Springfield,315,184
Indiana,Hammond,Rock Island,282,162
Indiana,Hammond,Peoria,258,145
Indiana,Hammond,Champaign,198,121
,,,,
Alabama,Mobile,Montgomery,271,146
Alabama,Mobile,Dothan,317,189
Alabama,Mobile,Tuscaloosa,315,213
Alabama,Mobile,Meridian,215,140
Alabama,Mobile,Biloxi,101,58
Alabama,Mobile,Hattiesburg,153,96
Alabama,Montgomery,Mobile,271,143
Alabama,Montgomery,Dothan,174,125
Alabama,Montgomery,Birmingham,146,80
Alabama,Montgomery,Tuscaloosa,166,113
Alabama,Montgomery,Auburn,89,60
Alabama,Montgomery,Meridian,252,164
Alabama,Montgomery,Columbia,263,174
Alabama,Montgomery,Oxford,166,126
Alabama,Dothan,Mobile,317,183
Alabama,Dothan,Montgomery,174,124
Alabama,Dothan,Tuscaloosa,331,235
Alabama,Dothan,Auburn,187,132
Alabama,Birmingham,Montgomery,145,81
Alabama,Birmingham,Huntsville,162,87
Alabama,Birmingham,Florence ,188,118
Alabama,Birmingham,Tuscaloosa,92,55
Alabama,Birmingham,Auburn,178,128
Alabama,Birmingham,Meridian,235,132
Alabama,Birmingham,Columbus,189,116
Alabama,Birmingham,Oxford,298,168
Alabama,Birmingham,Nashville,308,169
Alabama,Birmingham,Chattanooga,237,137
Alabama,Birmingham,Columbia,253,142
,,,,
,,,,
Alabama,Huntsville,Florence,122,87
Alabama,Huntsville,Tuscaloosa,252,140
Alabama,Huntsville,Auburn,325,127
Alabama,Huntsville,Birmingham,167,90
Alabama,Huntsville,Oxford,308,187
Alabama,Huntsville,Southaven,348,212
Alabama,Huntsville,Columbus,265,186
Alabama,Huntsville,Columbia,122,83
Alabama,Huntsville,Nashville,178,112
Alabama,Huntsville,Chattanooga,164,99
Alabama,Huntsville,Memphis,347,214
Alabama,Florence,Huntsville,117,80
Alabama,Florence,Auburn,364,239
Alabama,Florence,Tuscaloosa,197,147
Alabama,Florence,Birmingham,187,116
Alabama,Florence,Oxford,224,141
Alabama,Florence,Southaven,251,155
Alabama,Florence,Columbus,188,142
Alabama,Florence,Dyersburg,251,167
Alabama,Florence,Memphis,250,158
Alabama,Tuscaloosa,Huntsville,251,139
Alabama,Tuscaloosa,Florence,197,146
Alabama,Tuscaloosa,Auburn,253,166
Alabama,Tuscaloosa,Mobile,315,210
Alabama,Tuscaloosa,Montgomery,166,110
Alabama,Tuscaloosa,Birmingham,92.9,54
Alabama,Auburn,Huntsville,340,214
Alabama,Auburn,Florence,365,240
Alabama,Auburn,Tuscaloosa,253,166
Alabama,Auburn,Dothan,187,129
Alabama,Auburn,Montgomery,88.9,59
Alabama,Auburn,Birmingham,177,126
,,,,
,,,,
,,,,
,,,,
North Dakota,Bismarck,Jamestown,164,110
North Dakota,Bismarck,Bowman,281,170
North Dakota,Bismarck,Minot,178,130
North Dakota,Bismarck,New Town,239,160
North Dakota,Bismarck,Devils Lake,289,180
North Dakota,Bismarck,Pierre,330,210
North Dakota,Bismarck,Mobridge,181,120
North Dakota,Jamestown,Bismarck,164,110
North Dakota,Jamestown,Fargo,155,110
North Dakota,Jamestown,Devils Lake,159,100
North Dakota,Jamestown,Minot,274,170
North Dakota,Jamestown,New Town,358,220
North Dakota,Jamestown,Aberdeen,166,110
North Dakota,Bowman,Bismarck,285,172
North Dakota,Bowman,Minot,402,250
North Dakota,Bowman,New Town,272,170
North Dakota,Bowman,Rapid City,264,160
North Dakota,Bowman,Mobridge,262,170
North Dakota,Minot,Bismarck,178,130
North Dakota,Minot,Jamestown,274,170
North Dakota,Minot,Devils Lake,195,120
North Dakota,Minot,New Town,119,85
North Dakota,Minot,Bowman,402,250
North Dakota,Fargo,Jamestown,155,100
North Dakota,Fargo,Grand Forks,130,85
North Dakota,Fargo,St Cloud,277,190
North Dakota,Grand Forks,Fargo,130,90
North Dakota,Grand Forks,Devils Lake,144,100
North Dakota,Grand Forks,Thief River Falls,82.7,60
North Dakota,Grand Forks,Crookston,40.7,30
North Dakota,New Town,Bismarck,239,160
North Dakota,New Town,Jamestown,358,220
North Dakota,New Town,Minot,119,90
North Dakota,New Town,Bowman,272,170
North Dakota,Devils Lake,Bismarck,289,180
North Dakota,Devils Lake,Jamestown,159,100
North Dakota,Devils Lake,Minot,195,110
North Dakota,Devils Lake,Grand Forks,144,100
,,,,
Wisconsin,Milwaukee,Appleton,172,95
Wisconsin,Milwaukee,Madison,128,76
Wisconsin,Milwaukee,Wausau,303,169
Wisconsin,Milwaukee,Chicago,149,96
Wisconsin,Milwaukee,Rockford,152,90
Wisconsin,appleton,milwaukee,172,93
Wisconsin,appleton,Madison,169,109
Wisconsin,appleton,Wisconsin Dells,160,113
Wisconsin,appleton,Eau Claire,293,178
Wisconsin,appleton,Green Bay,34,51
Wisconsin,appleton,Wausau,165,93
Wisconsin,madison,Milwaukee,128,75
Wisconsin,madison,Appleton,175,109
Wisconsin,madison,Wisconsin Dells,87.3,59
Wisconsin,madison,Eau Claire,287,165
Wisconsin,madison,Green Bay,226,136
Wisconsin,madison,Wausau,230,131
Wisconsin,wisconsin dells,milwaukee,196,107
Wisconsin,wisconsin dells,appleton,161,115
Wisconsin,wisconsin dells,madison,86.2,59
Wisconsin,wisconsin dells,Eau Claire,201,115
Wisconsin,wisconsin dells,Green Bay,212,141
Wisconsin,wisconsin dells,Wausau,181,102
Wisconsin,Eau claire,appleton,294,181
Wisconsin,Eau claire,madison,286,167
Wisconsin,Eau claire,wisconsin dells,201,116
Wisconsin,Eau claire,Green Bay,309,179
Wisconsin,Eau claire,Superior,244,145
