State,City,Destination,Distance/km,Time Taken/min
Texas,Amarillo,Lubbock,197,110
Texas,Lubbock,Wichita Falls,336,200
Texas,Lubbock,San Angelo,314,190
Texas,San Angelo,Fort Stockton,265,160
Texas,San Angelo,San Antonio,339,210
Texas,San Angelo ,Austin,330,240
Texas,San Angelo,Waco,336,210
Texas,Dallas,Wichita Falls,226,150
Texas,Dallas,Tyler,158,110
Texas,Dallas,Waco,155,110
Texas,Dallas,Texarkana,287,161
Texas,Waco ,Austin,164,130
Texas,Waco ,College Station,148,105
Texas,Waco,Tyler,210,150
Texas,Tyler ,Texarkana,186,135
Texas,Tyler,College Station,241,190
Texas,Tyler,Houston,320,250
Texas,Tyler,Port Arthur,342,270
Texas,Houston,College Station,153,105
Texas,Houston,San Antonio,318,200
Texas,Houston ,Austin,266,180
Texas ,Austin ,San Antonio,128,90
Texas,Austin,College Station,172,120
Texas,Austin,Port Lavaca,245,180
Texas,San Antonio,Corpus Christi,231,135
Texas,Corpus Christi,Port Lavaca,136,90
Texas,Fort Stockton,Del Rio,298,170
Texas,Port Arthur,Houston,144,90
Texas,Port Lavaca,Houston,205,135
Texas,Fort Stockton,Del Rio,298,180
Texas,Port Arthur,Lake Charles,96,70
Texas,Tyler,Shreveport,157,100
Texas,Dallas,Antlers,243,155
Texas,Texarkana,Antlers,220,140
Texas,Texarkana,Shreveport,118,70
,,,,
Texas,Port Isabel,Corpus Christi,284,170
Texas,Port Isabel,Laredo,354,260
Texas,Waco,Fredericksburg,272,180
Texas,Waco,San Angelo,337,215
Texas,Waco,Wichita Falls,326,190
Texas,Waco,Houston,294,190
Texas,College Station,Fredericksburg,294,220
Texas,College Station,San Antonio,273,205
Texas,College Station,Tyler,240,115
Texas,College Station,Waco,148,102
Texas,College Station,Houston,156,97
Texas,El Paso,Fort Davis,322,195
Texas,Fredericksburg,San Antonio,112,75
Texas,Fredericksburg,Austin,125,107
Texas,Fredericksburg,Waco,287,190
Texas,Fredericksburg,College Station,294,220
Texas,Fredericksburg,San Angelo,235,140
Texas,Fredericksburg,Del Rio,278,170
Texas,San Angelo,Del Rio,252,160
Texas,Laredo,San Antonio,252,160
Texas,Laredo,Del Rio,288,195
Texas,Del Rio,San Antonio,252,170
Texas,Del Rio,Fredericksburg,281,170
Texas,Del Rio,San Angelo,252,160
Texas,Del Rio,Laredo,288,200
Texas,Tyler,Waco,210,155
Texas,Tyler,College Station,241,185
Texas,Tyler,Dallas,157,110
Texas,Tyler,Shreveport,157,97
Texas,Tyler,Texarkana,186,135
Texas,Wichita Falls,Waco,327,195
Texas,Wichita Falls,San Angelo,375,235
Texas,Wichita Falls,Oklahama City,223,130
Texas,Galveston,Houston,81,62
Texas,Galveston,College Station,234,155
Texas,San Antonio,Del Rio,251,165
Texas,San Antonio,College Station,272,190
Texas,San Antonio,Laredo,252,155
Texas,Austin,Galveston,347,230
Texas,Austin,Houston,266,170
Texas,Houston,Galveston,82,60
Texas,Houston,Galveston,82,60
