State,Source_city,Postal Code ,Weather,Sea_level / m,Latitude / degrees(Optional),Longitude / degrees(Optional)
Texas,Amarillo,79101,"8 November 12 am to 8 November 8 am : Cold, Light Winds, Clear
8 November 8 am to 8 November 4 pm : Light Winds, Clear
8 November 4 pm to 10 November 12 am : Cold, Light Winds, Clear",1116,0,0
Texas,Dallas,75201,"8 November 12 am to 9 November 7 am : Light Winds, Clear
9 November 7 am to 9 November 8 am : Light Winds, Light Rain
9 November 8 am to 9 November 10 am : Light Winds, Light Rain, Light Fog
9 November 10 am to 9 November 11 am : Light Winds, Light Rain
9 November 11 am to 9 November 12 pm : Light Winds, Light Rain, Light Fog
9 November 12 pm to 9 November 1 pm : Light Winds, Clear
9 November 1 pm to 9 November 2 pm : Light Winds, Light Fog
9 November 2 pm to 9 November 7 pm : Cold, Light Winds, Light Rain
9 November 7 pm to 9 November 8 pm : Cold, Light Winds, Clear
9 November 8 pm to 9 November 10 pm : Cold, Light Winds, Light Rain, Light Fog
9 November 10 pm to 9 November 11 pm : Cold, Light Winds, Light Rain
9 November 11 pm to 10 November 12 am : Cold, Light Winds, Light Rain, Light Fog",153,0,0
Texas,Houston,77001,"8 November 12 am to 8 November 11 pm : Light Winds, Clear
8 November 11 pm to 9 November 2 pm : Light Winds, Clear
9 November 2 pm to 9 November 3 pm : Light Winds, Light Rain
9 November 3 pm to 9 November 7 pm : Light Rain, Light Fog
9 November 7 pm to 10 November 12 am : Light Rain, Light Fog",21,0,0
Texas,Austin,73301,"8 November 12 am to 8 November 3 am : Clear
8 November 3 am to 8 November 4 pm : Light Winds, Clear
8 November 4 pm to 8 November 8 pm : Clear
8 November 8 pm to 9 November 2 am : Light Winds, Clear
9 November 2 am to 9 November 12 pm : Clear
9 November 12 pm to 9 November 3 pm : Light Winds, Light Rain
9 November 3 pm to 9 November 4 pm : Light Rain, Light Fog
9 November 4 pm to 9 November 9 pm : Light Winds, Light Rain
9 November 9 pm to 9 November 10 pm : Light Winds
9 November 10 pm to 9 November 11 pm : Light Rain, Light Fog
9 November 11 pm to 10 November 12 am : Light Rain",218,0,0
Texas,San Antonio,78201,"8 November 12 am to 8 November 9 am : Light Winds, Clear
8 November 9 am to 8 November 10 am : Light Rain, Light Fog
8 November 10 am to 8 November 5 pm : Light Winds, Clear
8 November 5 pm to 8 November 7 pm : Clear
8 November 7 pm to 9 November 4 am : Light Winds
9 November 4 am to 9 November 7 am : Clear
9 November 7 am to 9 November 8 am : Light Rain
9 November 8 am to 9 November 10 am : Clear
9 November 10 am to 9 November 1 pm : Light Rain
9 November 1 pm to 9 November 2 pm : Light Winds, Light Rain
9 November 2 pm to 9 November 3 pm : Light Winds
9 November 3 pm to 9 November 11 pm : Light Rain, Light Winds
9 November 11 pm to 10 November 12 am : Heavy Rain, Light Winds",202,0,0
Texas,Corpus Christi,78401,"8 November 12 am to 8 November 4 pm : Light Winds
8 November 4 pm to 8 November 5 pm : Heavy Winds
8 November 5 pm to 9 November 5 am : Light Winds
9 November 5 am to 9 November 8 am : Clear
9 November 8 am to 9 November 2 pm : Light Winds
9 November 2 pm to 9 November 3 pm : Heavy Rain, Light Fog
9 November 3 pm to 9 November 7 pm : Light Winds
9 November 7 pm to 9 November 11 pm : Light Rain, Light Winds
9 November 11 pm to 10 November 12 am : Clear",2,0,0
Texas,Fort Stockton,79735,"8 November 12 am to 8 November 8 am : Light Winds
8 November 8 am to 8 November 9 am : Clear
8 November 9 am to 9 November 7 am : Light Winds
9 November 7 am to 9 November 8 am : Light Winds, Light Fog
9 November 8 am to 9 November 12 pm : Light Rain, Light Winds
9 November 12 pm to 9 November 1 pm : Light Winds
9 November 1 pm to 9 November 2 pm : Light Winds, Light Fog
9 November 2 pm to 9 November 5 pm : Light Winds, Light Rain
9 November 5 pm to 9 November 6 pm : Light Winds, Light Rain, Light Fog
9 November 6 pm to 9 November 7 pm : Light Winds
9 November 7 pm to 9 November 8 pm : Light Winds, Light Rain
9 November 8 pm to 10 November 12 am : Light Winds",906,0,0
Texas,Lubbock,79401,"8 November 12 am to 8 November 7 pm : Light Winds, Clear
8 November 7 pm to 8 November 8 pm : Clear
8 November 8 pm to 9 November 9 am : Light Winds
9 November 9 am to 9 November 10 am : Light Winds, Light Rain
9 November 10 am to 9 November 1 pm : Light Winds
9 November 1 pm to 9 November 3 pm : Light Winds, Light Rain
9 November 3 pm to 9 November 4 pm : Light Winds
9 November 4 pm to 9 November 5 pm : Light Winds, Light Rain
9 November 5 pm to 10 November 12 am : Light Winds",976,0,0
Texas,Texarkana,75501,"8 November 12 am to 8 November 8 pm : Light Winds
8 November 8 pm to 9 November 2 am : Clear
9 November 2 am to 9 November 5 am : Light Winds
9 November 5 am to 9 November 1 pm : Clear
9 November 1 pm to 9 November 4 pm : Light Rain, Light Winds, Light Fog
9 November 4 pm to 9 November 7 pm : Heavy Rain, Light Winds, Light Fog
9 November 7 pm to 9 November 9 pm : Light Rain, Light Winds
9 November 9 pm to 9 November 11 pm : Light Rain, Light Winds, Light Fog
9 November 11 pm to 10 November 12 am : Light Rain, Light Winds",91,0,0
Texas,Port Arthur,77640,"8 November 12 am to 8 November 4 am : Light Winds, Clear
8 November 4 am to 8 November 9 am : Clear
8 November 9 am to 8 November 11 pm : Light Winds
8 November 11 pm to 9 November 10 am : Clear
9 November 10 am to 9 November 1 pm : Light Winds
9 November 1 pm to 9 November 3 pm : Light Rain
9 November 3 pm to 9 November 5 pm : Light Winds
9 November 5 pm to 10 November 12 am : Clear",2,0,0
